name;label
0001439.jpg;glass
0001440.jpg;glass
0001469.jpg;bottle
0001470.jpg;bottle
0001537.jpg;cup
0001538.jpg;cup
0001539.jpg;cup
0001540.jpg;cup
0001541.jpg;cup
0001576.jpg;cup
0001577.jpg;dog
0001578.jpg;dog
0001579.jpg;dog
0001580.jpg;dog
0001581.jpg;dog
0001590.jpg;glass
0001644.jpg;flower
0001660.jpg;tree
0001661.jpg;tree
0001662.jpg;tree
0001663.jpg;tree
0001664.jpg;tree
0001680.jpg;cup
0001681.jpg;cup
0001682.jpg;cup
0001683.jpg;cup
0001684.jpg;cup
0001711.jpg;tree
0001712.jpg;tree
0001713.jpg;tree
0001714.jpg;tree
0001715.jpg;bottle
0001716.jpg;bottle
0001717.jpg;bottle
0001718.jpg;bottle
0001719.jpg;bottle
0001737.jpg;dog
0001738.jpg;dog
0001739.jpg;dog
0001740.jpg;dog
0001773.jpg;bottle
0001787.jpg;cup
0001788.jpg;cup
0001790.jpg;flower
0001791.jpg;flower
0001792.jpg;flower
0001793.jpg;flower
0001794.jpg;flower
0001795.jpg;glass
0001796.jpg;glass
0001797.jpg;glass
0001798.jpg;glass
0001813.jpg;tree
0001814.jpg;tree
0001824.jpg;book
0001830.jpg;cup
0001831.jpg;cup
0001832.jpg;cup
0001833.jpg;cup
0001834.jpg;cup
0001835.jpg;flower
0001836.jpg;flower
0001837.jpg;flower
0001838.jpg;flower
0001839.jpg;flower
0001845.jpg;glass
0001846.jpg;glass
0001847.jpg;glass
0001848.jpg;glass
0001849.jpg;glass
0001860.jpg;tree
0001861.jpg;tree
0001862.jpg;tree
0001863.jpg;tree
0001864.jpg;tree
0001885.jpg;flower
0001886.jpg;flower
0001887.jpg;flower
0001888.jpg;flower
0001889.jpg;flower
0001895.jpg;glass
0001896.jpg;glass
0001897.jpg;glass
0001898.jpg;glass
0001899.jpg;glass
0001925.jpg;book
0001926.jpg;book
0001927.jpg;book
0001928.jpg;book
0001929.jpg;book
0001933.jpg;computermouse
0001934.jpg;computermouse
0001940.jpg;flower
0001941.jpg;flower
0001942.jpg;flower
0001943.jpg;flower
0001944.jpg;flower
0001969.jpg;bottle
0001970.jpg;bottle
0001971.jpg;bottle
0001976.jpg;computermouse
0001977.jpg;computermouse
0001978.jpg;cup
0001979.jpg;cup
0001980.jpg;cup
0001986.jpg;glass
0001987.jpg;glass
0001988.jpg;glass
0002025.jpg;bottle
0002041.jpg;computermouse
0002042.jpg;computermouse
0002043.jpg;computermouse
0002044.jpg;cup
0002045.jpg;dog
0002046.jpg;dog
0002047.jpg;flower
0002048.jpg;flower
0002049.jpg;flower
0002050.jpg;flower
0002051.jpg;flower
0002053.jpg;glass
0002054.jpg;glasses
0002070.jpg;tree
0002076.jpg;flower
0002077.jpg;flower
0002078.jpg;flower
0002102.jpg;tree
0002103.jpg;tree
0002104.jpg;tree
0002105.jpg;tree
0002106.jpg;tree
0002120.jpg;book
0002121.jpg;book
0002122.jpg;book
0002123.jpg;book
0002124.jpg;book
0002129.jpg;chair
0002130.jpg;cup
0002131.jpg;cup
0002132.jpg;cup
0002133.jpg;cup
0002134.jpg;cup
0002135.jpg;dog
0002136.jpg;dog
0002137.jpg;dog
0002138.jpg;dog
0002139.jpg;dog
0002145.jpg;glass
0002146.jpg;glass
0002147.jpg;glass
0002148.jpg;glass
0002149.jpg;glass
0002150.jpg;knife
0002151.jpg;knife
0002152.jpg;knife
0002153.jpg;knife
0002154.jpg;knife
0002160.jpg;spoon
0002161.jpg;spoon
0002162.jpg;spoon
0002163.jpg;spoon
0002164.jpg;spoon
0002170.jpg;computermouse
0002171.jpg;computermouse
0002172.jpg;computermouse
0002173.jpg;computermouse
0002174.jpg;computermouse
0002175.jpg;cup
0002176.jpg;cup
0002177.jpg;cup
0002178.jpg;cup
0002179.jpg;cup
0002180.jpg;flower
0002181.jpg;flower
0002182.jpg;flower
0002183.jpg;flower
0002184.jpg;flower
0002190.jpg;glass
0002191.jpg;glass
0002192.jpg;glass
0002193.jpg;glass
0002194.jpg;glass
0002200.jpg;knife
0002201.jpg;knife
0002202.jpg;knife
0002203.jpg;knife
0002204.jpg;knife
0002210.jpg;spoon
0002211.jpg;spoon
0002212.jpg;spoon
0002213.jpg;spoon
0002214.jpg;spoon
0002232.jpg;computermouse
0002233.jpg;computermouse
0002234.jpg;computermouse
0002235.jpg;cup
0002236.jpg;dog
0002237.jpg;dog
0002238.jpg;dog
0002239.jpg;dog
0002240.jpg;flower
0002241.jpg;flower
0002242.jpg;flower
0002243.jpg;flower
0002244.jpg;flower
0002245.jpg;flower
0002246.jpg;flower
0002247.jpg;flower
0002254.jpg;tree
0002255.jpg;tree
0002256.jpg;tree
0002257.jpg;tree
0002258.jpg;tree
0002259.jpg;tree
0002260.jpg;tree
0002261.jpg;tree
0002262.jpg;tree
0002263.jpg;tree
0002264.jpg;tree
0002265.jpg;bottle
0002266.jpg;bottle
0002267.jpg;bottle
0002268.jpg;bottle
0002269.jpg;bottle
0002270.jpg;chair
0002271.jpg;chair
0002272.jpg;chair
0002273.jpg;chair
0002274.jpg;chair
0002275.jpg;cup
0002276.jpg;cup
0002277.jpg;cup
0002278.jpg;cup
0002279.jpg;cup
0002280.jpg;dog
0002281.jpg;dog
0002282.jpg;dog
0002283.jpg;dog
0002284.jpg;dog
0002285.jpg;flower
0002286.jpg;flower
0002287.jpg;flower
0002288.jpg;flower
0002289.jpg;flower
0002290.jpg;fork
0002291.jpg;fork
0002292.jpg;fork
0002293.jpg;fork
0002294.jpg;fork
0002295.jpg;knife
0002296.jpg;knife
0002297.jpg;knife
0002298.jpg;knife
0002299.jpg;knife
0002305.jpg;spoon
0002306.jpg;spoon
0002307.jpg;spoon
0002308.jpg;spoon
0002309.jpg;spoon
0002315.jpg;book
0002316.jpg;book
0002317.jpg;book
0002318.jpg;book
0002319.jpg;book
0002320.jpg;chair
0002321.jpg;chair
0002322.jpg;chair
0002323.jpg;chair
0002324.jpg;chair
0002325.jpg;computermouse
0002326.jpg;computermouse
0002327.jpg;computermouse
0002328.jpg;computermouse
0002329.jpg;computermouse
0002330.jpg;cup
0002331.jpg;cup
0002332.jpg;cup
0002333.jpg;cup
0002334.jpg;cup
0002335.jpg;dog
0002336.jpg;dog
